timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1753970825772,2115,Get Home Page-26,200,,2_ View Details - Ultimate Thread Group 2-26,text,true,,4973,578,27,91,https://petstore.octoperf.com/actions/Catalog.action,2115,0,1465
1753970822993,670,Type and Search,200,"Number of samples in transaction : 1, number of failing samples : 0",1_ Search - Ultimate Thread Group 1-53,,true,,3445,971,57,91,null,0,4248,0
1753970827241,670,Type and Search-22,200,,1_ Search - Ultimate Thread Group 1-53,text,true,,3445,971,57,91,https://petstore.octoperf.com/actions/Catalog.action;jsessionid=89BCDD5E8DF15351B7C17616FEC2CB7E,670,0,0
1753970825280,658,Click on Category,200,"Number of samples in transaction : 1, number of failing samples : 0",2_ View Details - Ultimate Thread Group 2-19,,true,,3668,634,27,91,null,0,2015,0
1753970827294,658,Click on Category-28,200,,2_ View Details - Ultimate Thread Group 2-19,text,true,,3668,634,27,91,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=REPTILES,658,0,0
1753970823940,2960,Get Home Page,200,"Number of samples in transaction : 3, number of failing samples : 0",1_ Search - Ultimate Thread Group 1-13,,true,,23706,1532,57,91,null,0,1071,1314
1753970823942,1738,Get Home Page-4,200,,1_ Search - Ultimate Thread Group 1-13,text,true,,1452,455,52,83,https://petstore.octoperf.com/,1738,0,1314
1753970826748,563,Get Home Page-7,200,,1_ Search - Ultimate Thread Group 1-13,text,true,,5664,525,55,89,https://petstore.octoperf.com/actions/Catalog.action,563,0,0
1753970827312,659,Get Home Page-9,200,,1_ Search - Ultimate Thread Group 1-13,text,true,,16590,552,57,91,https://petstore.octoperf.com/images/logo-topbar.svg,652,0,0
1753970825255,663,Click on ItemID,200,"Number of samples in transaction : 1, number of failing samples : 0",2_ View Details - Ultimate Thread Group 2-23,,true,,3811,656,27,91,null,0,2076,0
1753970827330,663,Click on ItemID-30,200,,2_ View Details - Ultimate Thread Group 2-23,text,true,,3811,656,27,91,https://petstore.octoperf.com/actions/Catalog.action?viewItem=&itemId=EST-12,663,0,0
1753970825343,656,Click on ProductID,200,"Number of samples in transaction : 1, number of failing samples : 0",3_ Add to Cart - Ultimate Thread Group 3-6,,true,,4243,663,7,91,null,0,2028,0
1753970827370,656,Click on ProductID-64,200,,3_ Add to Cart - Ultimate Thread Group 3-6,text,true,,4243,663,7,91,https://petstore.octoperf.com/actions/Catalog.action?viewProduct=&productId=FL-DSH-01,656,0,0
1753970825351,673,Click on ProductID,200,"Number of samples in transaction : 1, number of failing samples : 0",2_ View Details - Ultimate Thread Group 2-30,,true,,4135,662,27,91,null,0,2042,0
